filename,clause_name,rank,similarity_score,chunk_id,evidence_text
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Non-Compete,1,0.33378565,2,"To the extent Shares remain unsold in the Subscription Offering, the Company is offering for sale in a community offering (the ""Community Offering"" and when referred to together with the Subscription Offering, the ""Subscription and Community Offering"") the Shares not so subscribed for or ordered in the Subscription Offering to members of the general public, with preference given to natural persons residing in the New Mexico counties of Otero and Lincoln (""Other Subscribers""), (all such offerees being referred to in the aggregate as ""Eligible Offerees""). It is anticipated that shares not subscribed for in the Subscription and Community Offering will be offered to certain members of the general public on a best efforts basis through a selected dealers arrangement (the ""Syndicated Community Offering"") (the Subscription Offering, Community Offering and Syndicated Community Offering are collectively referred to as the ""Offering"")."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Non-Compete,2,0.31102136,17,"(e) The MHC is and, as of the Closing Date, will continue to be duly organized and validly existing as a federally chartered mutual holding company under the laws of the United States, duly authorized to conduct its business and own its property as described in the Registration Statement and the Prospectus; as of the Closing Date, the MHC will have obtained all licenses, permits and other governmental authorizations required for the conduct of its business except those that individually or in the aggregate would not materially adversely affect the financial condition, earnings, capital, assets or properties of the Company, MHC and Bank taken as a whole; as of the Closing Date, all such licenses, permits and governmental authorizations will be in full force and effect and the MHC will be in compliance therewith in all material respects; as of the Closing Date, the MHC will be duly qualified as a foreign corporation to transact business in each jurisdiction in which the failure to be so qualified in one or more of such jurisdictions would have a material adverse effect on the financial condition, earnings, capital, assets, properties or business of the Company, MHC and Bank considered as one enterprise."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Non-Compete,3,0.3058424,19,"(i) The Bank has been organized and is a validly existing federally chartered savings and loan association in capital stock form of organization, duly authorized to conduct its business and own its property as described in the Registration Statement and the Prospectus; the Bank has obtained all material licenses, permits and other governmental authorizations currently required for the conduct of its business; all such licenses, permits and governmental authorizations are in full force and effect, and the Bank is in all material respects complying with all laws, rules, regulations and orders applicable to the operation of its business; the Bank is existing under the laws of the United States and is duly qualified as a foreign corporation to transact business and is in good standing in each jurisdiction in which its ownership of property or leasing of property or the conduct of its business requires such qualification, unless the failure to be so qualified in one or more of such jurisdictions would not have a material adverse effect on the condition, financial or otherwise, or the business, operations or income of the Bank."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Exclusivity,1,0.4738834,77,"In addition, such opinion may be limited to present statutes, regulations and judicial interpretations and to facts as they presently exist; in rendering such opinion, such counsel need assume no obligation to revise or supplement it should the present laws be changed by legislative or regulatory action, judicial decision or otherwise; and such counsel need express no view, opinion or belief with respect to whether any proposed or pending legislation, if enacted, or any proposed or pending regulations or policy statements issued by any regulatory agency, whether or not promulgated pursuant to any such legislation, would affect the validity of the Offering or any aspect thereof. Such counsel may assume that any agreement is the valid and binding obligation of any parties to such agreement other than the Company, the MHC or the Bank."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Exclusivity,2,0.44697088,25,"The consummation of the Offering, the execution, delivery and performance of this Agreement and the consummation of the transactions herein contemplated have been duly and validly authorized by all necessary corporate action on the part of the Company, the MHC and the Bank and this Agreement has been validly executed and delivered by the Company, the MHC and the Bank and is the valid, legal and binding agreement of the Company, the MHC and the Bank enforceable in accordance with its terms (except as the enforceability thereof may be limited by bankruptcy, insolvency, moratorium, reorganization or similar laws relating to or affecting the enforcement of creditors' rights generally or the rights of creditors of savings and loan holding companies, the accounts of whose subsidiaries are insured by the FDIC or by general equity principles regardless of whether such enforceability is considered in a proceeding in equity or at law, and except to the extent if any, that the provisions of Sections 8 and 9 hereof may be unenforceable as against public policy)."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Exclusivity,3,0.44177222,32,"The consummation of the transactions herein contemplated will not: (i) conflict with or constitute a breach of, or default under, or result in the creation of any material lien, charge or encumbrance upon any of the assets of the Company, the MHC or the Bank pursuant to the articles of incorporation of the Company or the charter and bylaws of the Bank and the MHC, or any material contract, lease or other instrument to which the Company, the MHC or the Bank has a beneficial interest, or any applicable law, rule, regulation or order; (ii) violate any authorization, approval, judgement, decree, order, statute, rule or regulation applicable to the Company, the MHC or the Bank, except for such violations which would not have a material adverse effect on the financial condition and results of operations of the Company, the MHC and the Bank on a consolidated basis; or (iii) result in the creation of any material lien, charge or encumbrance upon any property of the Company, the MHC or the Bank."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Change Of Control,1,0.35740268,62,"To such counsel's Actual Knowledge, upon the issuance of the Shares, good title to the Shares will be transferred by the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Change Of Control,2,0.33091024,35,"To the best knowledge of the Company, the MHC and the Bank, upon the issuance of the Shares, good title to the Shares will be transferred from the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants. (u) No approval of any regulatory or supervisory or other public authority is required in connection with the execution and delivery of this Agreement or the issuance of the Shares, except for the approval of the Commission, the OTS and any necessary qualification, notification, registration or exemption under the securities or blue sky laws of the various states in which the Shares are to be offered, and except as may be required under the rules and regulations of the NASD. (v) The Accounting & Consulting Group L.L.P."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Change Of Control,3,0.30864185,90,"(a) The Company, the MHC and the Bank jointly and severally agree to indemnify and hold harmless the Agent, its respective officers and directors, employees and agents, and each person, if any, who controls the Agent within the meaning of Section 15 of the 1933 Act or Section 20(a) of the 1934 Act, against any and all loss, liability, claim, damage or expense whatsoever (including but not limited to settlement expenses), joint or several, that the Agent or any of them may suffer or to which the Agent and any such persons may become subject under all applicable federal or state laws or otherwise, and to promptly reimburse the Agent and any such persons upon written demand for any expense (including reasonable fees and disbursements of counsel) incurred by the Agent or any of them in connection with investigating, preparing or defending any actions, proceedings or claims (whether commenced or threatened) to the extent such losses, claims, damages, liabilities or actions: (i) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), or any instrument or document executed by the Company, the MHC or the Bank or based upon written information supplied by the Company, the MHC or the Bank filed in any state or jurisdiction to register or qualify any or all of the Shares or to claim an exemption therefrom, or provided to any state or jurisdiction to exempt the Company as a broker-dealer or its officers, directors and employees as broker-dealers or agent, under the securities laws thereof (collectively, the ""Blue Sky Application""), or any document, advertisement, oral statement or communication (""Sales Information"") prepared, made or executed by or on behalf of the Company, the MHC or the Bank with their consent or based upon written or oral information furnished by or on behalf of the Company, the MHC or the Bank, whether or not filed in any jurisdiction, in order to qualify or register the Shares or to claim an exemption therefrom under the securities laws thereof; (ii) arise out of or are based upon the omission or alleged omission to state in any of the foregoing documents or information, a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading; or (iii) arise from any theory of liability whatsoever relating to or arising from or based upon the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application 33 (or any amendment or supplement thereto), any Blue Sky Application or Sales Information or other documentation distributed in connection with the Offering; provided, however, that no indemnification is required under this paragraph (a) to the extent such losses, claims, damages, liabilities or actions arise out of or are based upon any untrue material statement or alleged untrue material statement in, or material omission or alleged material omission from, the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), any Blue Sky Application or Sales Information made in reliance upon and in conformity with information furnished in writing to the Company, the MHC or the Bank by the Agent or its counsel regarding the Agent provided, that it is agreed and understood that the only information furnished in writing to the Company, the MHC or the Bank by the Agent regarding the Agent is set forth in the Prospectus; and, provided further, that such indemnification shall be to the extent permitted by the Commissioner, the OTS, the FDIC and the Board of Governors of the Federal Reserve."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Anti-Assignment,1,0.41797912,35,"To the best knowledge of the Company, the MHC and the Bank, upon the issuance of the Shares, good title to the Shares will be transferred from the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants. (u) No approval of any regulatory or supervisory or other public authority is required in connection with the execution and delivery of this Agreement or the issuance of the Shares, except for the approval of the Commission, the OTS and any necessary qualification, notification, registration or exemption under the securities or blue sky laws of the various states in which the Shares are to be offered, and except as may be required under the rules and regulations of the NASD. (v) The Accounting & Consulting Group L.L.P."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Anti-Assignment,2,0.40088844,90,"(a) The Company, the MHC and the Bank jointly and severally agree to indemnify and hold harmless the Agent, its respective officers and directors, employees and agents, and each person, if any, who controls the Agent within the meaning of Section 15 of the 1933 Act or Section 20(a) of the 1934 Act, against any and all loss, liability, claim, damage or expense whatsoever (including but not limited to settlement expenses), joint or several, that the Agent or any of them may suffer or to which the Agent and any such persons may become subject under all applicable federal or state laws or otherwise, and to promptly reimburse the Agent and any such persons upon written demand for any expense (including reasonable fees and disbursements of counsel) incurred by the Agent or any of them in connection with investigating, preparing or defending any actions, proceedings or claims (whether commenced or threatened) to the extent such losses, claims, damages, liabilities or actions: (i) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), or any instrument or document executed by the Company, the MHC or the Bank or based upon written information supplied by the Company, the MHC or the Bank filed in any state or jurisdiction to register or qualify any or all of the Shares or to claim an exemption therefrom, or provided to any state or jurisdiction to exempt the Company as a broker-dealer or its officers, directors and employees as broker-dealers or agent, under the securities laws thereof (collectively, the ""Blue Sky Application""), or any document, advertisement, oral statement or communication (""Sales Information"") prepared, made or executed by or on behalf of the Company, the MHC or the Bank with their consent or based upon written or oral information furnished by or on behalf of the Company, the MHC or the Bank, whether or not filed in any jurisdiction, in order to qualify or register the Shares or to claim an exemption therefrom under the securities laws thereof; (ii) arise out of or are based upon the omission or alleged omission to state in any of the foregoing documents or information, a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading; or (iii) arise from any theory of liability whatsoever relating to or arising from or based upon the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application 33 (or any amendment or supplement thereto), any Blue Sky Application or Sales Information or other documentation distributed in connection with the Offering; provided, however, that no indemnification is required under this paragraph (a) to the extent such losses, claims, damages, liabilities or actions arise out of or are based upon any untrue material statement or alleged untrue material statement in, or material omission or alleged material omission from, the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), any Blue Sky Application or Sales Information made in reliance upon and in conformity with information furnished in writing to the Company, the MHC or the Bank by the Agent or its counsel regarding the Agent provided, that it is agreed and understood that the only information furnished in writing to the Company, the MHC or the Bank by the Agent regarding the Agent is set forth in the Prospectus; and, provided further, that such indemnification shall be to the extent permitted by the Commissioner, the OTS, the FDIC and the Board of Governors of the Federal Reserve."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Anti-Assignment,3,0.398318,62,"To such counsel's Actual Knowledge, upon the issuance of the Shares, good title to the Shares will be transferred by the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,1,0.42807043,10,"the Agent will be paid a fee not to exceed 5.5% of the aggregate Purchase Price of the Shares sold by them. the Agent will pass onto selected broker-dealers, who assist in the syndicated community, an amount competitive with gross underwriting discounts changed at such time for comparable amounts of stock sold at a comparable price per share in a similar market environment. Fees with respect to purchases affected with the assistance of a broker/dealer other than the Agent shall be transmitted by the Agent to such broker/dealer. The decision to utilize selected broker-dealers will be made by the Bank upon consultation with the Agent. In the event, with respect to any purchases of Shares, fees are paid pursuant to this subparagraph 2(c), such fees shall be in lieu of, and not in addition to, payment pursuant to subparagraph 2(a) and 2(b)."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,2,0.40200216,11,"(d) The Company will bear those expenses of the proposed offering customarily borne by issuers, including, without limitation, regulatory filing fees, ""Blue Sky,"" and NASD filing and registration fees; the fees of the Company's accountants, attorneys, appraiser, transfer agent and registrar, printing, mailing and marketing and syndicate expenses associated with the Offering; the fees set forth in Section 2; and fees for ""Blue Sky"" legal work. If the Agent incurs expenses on behalf of the Company, the Company will reimburse the Agent for such expenses. The Agent shall be reimbursed for reasonable out-of-pocket expenses, including costs of travel, meals and lodging, photocopying, telephone, facsimile and couriers. The Agent shall also be reimbursed for its fees of underwriter's counsel (including counsel's out-of-pocket expenses) not to exceed $35,000. The selection of such counsel will be done by the Agent, after consultation with the Bank. Section 3. Prospectus; Offering. The Shares are to be initially offered in the Offering at the Purchase Price as defined and set forth on the cover page of the Prospectus. 4 Section 4."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,3,0.3937751,2,"To the extent Shares remain unsold in the Subscription Offering, the Company is offering for sale in a community offering (the ""Community Offering"" and when referred to together with the Subscription Offering, the ""Subscription and Community Offering"") the Shares not so subscribed for or ordered in the Subscription Offering to members of the general public, with preference given to natural persons residing in the New Mexico counties of Otero and Lincoln (""Other Subscribers""), (all such offerees being referred to in the aggregate as ""Eligible Offerees""). It is anticipated that shares not subscribed for in the Subscription and Community Offering will be offered to certain members of the general public on a best efforts basis through a selected dealers arrangement (the ""Syndicated Community Offering"") (the Subscription Offering, Community Offering and Syndicated Community Offering are collectively referred to as the ""Offering"")."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,1,0.40163612,8,"If all conditions precedent to the consummation of the Offering, including, without limitation, the sale of all Shares required by the Plan to be sold, are satisfied, the Company agrees to issue, or have issued, the Shares sold in the Offering and to release for delivery certificates for such Shares on the Closing Date (as hereinafter defined) against payment to the Company by any means authorized by the Plan; provided, however, that no funds shall be released to the Company until the conditions specified in Section 7 hereof shall have been complied with to the reasonable satisfaction of the Agent and their counsel. The release of Shares against payment therefor shall be made on a date and at a place acceptable to the Company, the MHC, the Bank and the Agent. Certificates for shares shall be delivered directly to the purchasers in accordance with their directions."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,2,0.38823497,56,"Whether or not the Offering is completed or the sale of the Shares by the Company is consummated, the Company, the MHC and the Bank jointly and severally agree to pay or reimburse the Agent for the Company, the MHC and the Bank have agreed to reimburse the Agent for its out-of-pocket expenses, and its legal fees (as specified in Section 2) and to indemnify the Agent against certain claims or liabilities, including certain liabilities under the Securities Act, and will contribute to payments the Agent may be required to make in connection with any such claims or liabilities; and the fees set forth under Section 2. In the event the Company is unable to sell a minimum of 708,050 Shares, the Company, the MHC and the Bank shall promptly reimburse the Agent in accordance with Section 2 hereof. Section 7. Conditions to the Agent's Obligations."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,3,0.3776589,3,"It is acknowledged that the purchase of Shares in the Offering is subject to the maximum and minimum purchase limitations as described in the Plan and that the Company and the Bank may reject, in whole or in part, any orders received in the Community Offering or Syndicated Community Offering. The Company will issue the Shares at a purchase price of $10.00 per share (the ""Purchase Price""). The Company has filed with the Securities and Exchange Commission (the ""Commission"") a registration statement on Form S-1 (File No. 333- ) (the ""Registration Statement"") containing a prospectus relating to the Offering for the registration of the Shares under the Securities Act of 1933 (the ""1933 Act""), and has filed such amendments thereof and such amended prospectuses as may have been required to the date hereof. The term ""Registration Statement"" shall include all exhibits thereto, as amended, including post-effective amendments."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Ip Ownership Assignment,1,0.49795866,62,"To such counsel's Actual Knowledge, upon the issuance of the Shares, good title to the Shares will be transferred by the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Ip Ownership Assignment,2,0.4617988,35,"To the best knowledge of the Company, the MHC and the Bank, upon the issuance of the Shares, good title to the Shares will be transferred from the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants. (u) No approval of any regulatory or supervisory or other public authority is required in connection with the execution and delivery of this Agreement or the issuance of the Shares, except for the approval of the Commission, the OTS and any necessary qualification, notification, registration or exemption under the securities or blue sky laws of the various states in which the Shares are to be offered, and except as may be required under the rules and regulations of the NASD. (v) The Accounting & Consulting Group L.L.P."
